cand_id;job_id;distance_km;match_score;match_rank;cand_gender;cand_age_bucket;cand_domicile_province;cand_domicile_region;cand_education;job_contract_type;job_professional_category;job_sector;job_work_province
5,664,912;OFF_1011_1427;3.232.704.163;9.957.338.715;1;Male;45-54;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;Surveying and technician of civil and industrial constructions;Designers / Design / Graphics;UD 
4,999,120;OFF_1011_1427;155.955.925;9.921.056.366;2;Male;35-44;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;Surveying and technician of civil and industrial constructions;Designers / Design / Graphics;UD 
5,413,671;OFF_1011_1427;3.134.887.695;991.186.142;3;Female;45-54;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;Surveying and technician of civil and industrial constructions;Designers / Design / Graphics;UD 
5,965,090;OFF_1011_1427;6.631.559.753;9.740.976.715;4;Male;15-24;TS;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;Surveying and technician of civil and industrial constructions;Designers / Design / Graphics;UD 
5,771,219;OFF_1011_1427;155.955.925;9.732.387.543;5;Female;35-44;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;Surveying and technician of civil and industrial constructions;Designers / Design / Graphics;UD 
2,216,205;OFF_1011_1427;2.494.693.947;969.223.175;6;Male;55-74;UD;FRIULI VENEZIA GIULIA;Degree / High School : Surveying;Subordinate employment;Surveying and technician of civil and industrial constructions;Designers / Design / Graphics;UD 
4,594,051;OFF_1011_1427;2.795.996.857;9.624.521.637;7;Male;55-74;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;Surveying and technician of civil and industrial constructions;Designers / Design / Graphics;UD 
5,148,878;OFF_1011_1427;2.551.218.033;9.623.524.475;8;Male;25-34;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;Surveying and technician of civil and industrial constructions;Designers / Design / Graphics;UD 
5,933,345;OFF_1011_1427;288.568.325;9.600.971.222;9;Female;45-54;GO;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;Surveying and technician of civil and industrial constructions;Designers / Design / Graphics;UD 
7,204,128;OFF_1011_1427;3.134.887.695;9.580.227.661;10;Female;35-44;UD;FRIULI VENEZIA GIULIA;N/A;Subordinate employment;Surveying and technician of civil and industrial constructions;Designers / Design / Graphics;UD 
5,025,089;OFF_1038_1739;1.778.607.559;9.994.982.147;1;Male;25-34;MI;LOMBARDIA;Degree / High School : Scientific High School;Search and selection;Butcher (m/f);Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
3,082,155;OFF_1038_1739;2.629.641.724;9.992.641.449;2;Female;25-34;MB;LOMBARDIA;N/A;Search and selection;Butcher (m/f);Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
5,976,262;OFF_1038_1739;2.629.641.724;9.992.641.449;3;Female;25-34;MB;LOMBARDIA;N/A;Search and selection;Butcher (m/f);Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
5,386,880;OFF_1038_1739;1.778.607.559;9.992.209.625;4;Male;35-44;MI;LOMBARDIA;N/A;Search and selection;Butcher (m/f);Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
5,904,646;OFF_1038_1739;1.663.249.207;999.187.088;5;Female;25-34;MI;LOMBARDIA;N/A;Search and selection;Butcher (m/f);Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
6,111,549;OFF_1038_1739;1.818.578.529;9.991.743.469;6;Female;45-54;BG;LOMBARDIA;N/A;Search and selection;Butcher (m/f);Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
5,610,361;OFF_1038_1739;2.629.641.724;9.990.903.473;7;Female;25-34;MB;LOMBARDIA;N/A;Search and selection;Butcher (m/f);Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
7,170,834;OFF_1038_1739;4.608.162.689;9.989.350.891;8;Female;25-34;BG;LOMBARDIA;N/A;Search and selection;Butcher (m/f);Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
5,981,770;OFF_1038_1739;2.337.417.984;9.988.941.193;9;Female;25-34;MB;LOMBARDIA;N/A;Search and selection;Butcher (m/f);Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
6,350,598;OFF_1038_1739;1.818.578.529;9.988.456.726;10;Female;35-44;BG;LOMBARDIA;N/A;Search and selection;Butcher (m/f);Large-scale distribution / Retail / Shop assistants / Shelving workers;MI 
7,090,323;OFF_104_1550;2.166.576.576;9.999.417.877;1;Male;35-44;CH;ABRUZZO;N/A;Subordinate employment;welder;Specialized workers;CH 
6,464,503;OFF_104_1550;2.166.576.576;9.999.328.613;2;Male;35-44;CH;ABRUZZO;N/A;Subordinate employment;welder;Specialized workers;CH 
5,685,327;OFF_104_1550;2.166.576.576;9.999.246.216;3;Male;45-54;CH;ABRUZZO;N/A;Subordinate employment;welder;Specialized workers;CH 
6,294,358;OFF_104_1550;2.166.576.576;9.998.854.065;4;Male;15-24;CH;ABRUZZO;N/A;Subordinate employment;welder;Specialized workers;CH 
252,922;OFF_104_1550;2.166.576.576;9.997.786.713;5;Male;35-44;CH;ABRUZZO;N/A;Subordinate employment;welder;Specialized workers;CH 
5,095,527;OFF_104_1550;2.166.576.576;999.758.606;6;Male;25-34;CH;ABRUZZO;N/A;Subordinate employment;welder;Specialized workers;CH 
5,988,333;OFF_104_1550;1.025.592.709;9.997.257.996;7;Male;35-44;CH;ABRUZZO;N/A;Subordinate employment;welder;Specialized workers;CH 
3,317,129;OFF_104_1550;4.996.115.112;9.997.012.329;8;Male;25-34;CB;MOLISE;Degree / High School : Electrotechnical and Automation Technician;Subordinate employment;welder;Specialized workers;CH 
7,131,195;OFF_104_1550;4.870.557.785;9.996.979.523;9;Male;45-54;CB;MOLISE;N/A;Subordinate employment;welder;Specialized workers;CH 
7,268,942;OFF_104_1550;1.810.775.185;9.996.966.553;10;Male;25-34;CH;ABRUZZO;N/A;Subordinate employment;welder;Specialized workers;CH 
